dataset_name,parameter_combination,model_state_path,input_space_type,knn_Outcome_score,nn_Outcome_score,knn_batch_score,nn_batch_score,knn_Age_r2,nn_Age_r2,knn_Outcome_accuracy,nn_Outcome_accuracy
COMBAT_X_pca,two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn.pth,pca,0.625,0.125,0.8571428571428571,0.10714285714285714,,,,
COMBAT_X_pca,two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss.pth,pca,0.625,0.125,0.8571428571428571,0.10714285714285714,,,,
COMBAT_X_pca,two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_knn,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_knn.pth,pca,0.6666666666666666,0.2916666666666667,0.8214285714285714,0.07142857142857142,,,,
COMBAT_X_pca,two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn.pth,pca,0.6666666666666666,0.2916666666666667,0.8214285714285714,0.07142857142857142,,,,
COMBAT_X_pca,two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_loss,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_loss.pth,pca,0.6666666666666666,0.2916666666666667,0.8214285714285714,0.07142857142857142,,,,
COMBAT_X_pca,two_stages_True_stage2_joint_stage1val_knn_stage2val_knn,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_joint_stage1val_knn_stage2val_knn.pth,pca,0.625,0.25,0.8571428571428571,0.10714285714285714,,,,
COMBAT_X_pca,two_stages_True_stage2_joint_stage1val_knn_stage2val_nn,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_joint_stage1val_knn_stage2val_nn.pth,pca,0.5833333333333334,0.375,0.8571428571428571,0.10714285714285714,,,,
COMBAT_X_pca,two_stages_True_stage2_joint_stage1val_knn_stage2val_loss,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_joint_stage1val_knn_stage2val_loss.pth,pca,0.7083333333333334,0.5,0.8571428571428571,0.07142857142857142,,,,
COMBAT_X_pca,two_stages_True_stage2_joint_stage1val_loss_stage2val_knn,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_joint_stage1val_loss_stage2val_knn.pth,pca,0.7083333333333334,0.3333333333333333,0.7857142857142857,0.10714285714285714,,,,
COMBAT_X_pca,two_stages_True_stage2_joint_stage1val_loss_stage2val_nn,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_joint_stage1val_loss_stage2val_nn.pth,pca,0.7083333333333334,0.2916666666666667,0.7857142857142857,0.10714285714285714,,,,
COMBAT_X_pca,two_stages_True_stage2_joint_stage1val_loss_stage2val_loss,output/COMBAT_X_pca_outcome_cl_two_stages_True_stage2_joint_stage1val_loss_stage2val_loss.pth,pca,0.7083333333333334,0.2916666666666667,0.7857142857142857,0.10714285714285714,,,,
COMBAT_X_pca,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn,output/COMBAT_X_pca_outcome_cl_two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn.pth,pca,0.5833333333333334,0.0,0.8214285714285714,0.0,,,,
